epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s
1,1.0202,51.06,1.2085,41.85,0.001000,19.7
2,0.8361,62.63,1.1864,46.28,0.001000,19.3
3,0.7763,66.34,0.9135,49.91,0.001000,19.4
4,0.7466,67.82,0.7166,69.86,0.001000,19.4
5,0.7194,69.34,0.8462,56.35,0.001000,19.4
6,0.6933,70.37,0.8320,58.28,0.001000,19.4
7,0.6753,71.43,0.6974,72.50,0.001000,19.4
8,0.6569,72.17,0.6597,72.27,0.001000,19.4
9,0.6404,72.83,0.8262,60.31,0.001000,19.4
10,0.6381,73.17,0.6353,70.79,0.001000,19.4
11,0.6162,74.05,0.7406,66.22,0.001000,19.4
12,0.6046,74.57,0.6810,67.05,0.001000,19.4
13,0.5894,75.36,0.6563,73.05,0.001000,19.4
14,0.5794,75.56,0.6339,70.41,0.001000,19.5
15,0.5635,76.68,0.7328,70.76,0.001000,19.5
16,0.5449,77.31,0.6675,70.06,0.001000,19.5
17,0.5290,78.07,0.6813,67.25,0.001000,19.5
18,0.5140,78.69,1.0331,70.90,0.001000,19.6
19,0.5039,79.31,0.7277,74.99,0.001000,19.5
20,0.4911,79.61,0.6198,75.24,0.001000,19.6
21,0.4677,80.55,0.9365,66.65,0.001000,19.5
22,0.4544,81.13,0.6417,74.06,0.001000,19.6
23,0.4383,81.96,0.5757,74.45,0.001000,19.6
24,0.4209,82.51,0.6155,72.64,0.001000,19.6
25,0.4018,83.45,1.1313,71.45,0.001000,19.6
26,0.3863,84.17,0.9216,64.89,0.001000,19.6
27,0.3664,85.01,0.6802,75.88,0.001000,19.7
28,0.3512,85.76,0.7536,75.87,0.001000,19.7
29,0.3327,86.52,0.8256,76.87,0.001000,19.7
30,0.2526,90.00,0.7439,79.29,0.000500,19.6
31,0.2313,90.83,0.9157,76.99,0.000500,19.7
32,0.2106,91.82,0.7403,77.18,0.000500,19.7
33,0.1994,92.20,0.7787,78.16,0.000500,19.7
